date,Close,High,Low,Open,Volume,log_return,forecasted_vol,omega,alpha,beta,refit_day,persistence
2018-01-04,151.78038024902344,152.23483683409796,151.56262190885022,152.03601839865289,24776100,0.0017479691558982,0.143518455792752,6.751779255147891e-06,0.11328632422478024,0.8085169482771979,True,0.9218032725019781
2018-01-05,153.3047332763672,153.4088810927017,152.21592701671025,152.49996782916037,26992300,0.0099930520699887,0.13553568036370264,6.650403714593974e-06,0.11169790500681256,0.8109209135645058,True,0.9226188185713183
2018-01-08,153.90122985839844,153.97697504424332,153.24794027153877,153.30474554919317,23159100,0.0038833707885743,0.13929467786303035,6.685108378628244e-06,0.11196303307446696,0.8103149719846823,True,0.9222780050591493
2018-01-09,153.91064453125,154.3651010575006,153.44672527731737,154.20414800543085,24782400,6.117160277299708e-05,0.13338424206856248,6.6199003401177485e-06,0.1108056936216849,0.8118829656709443,True,0.9226886592926292
2018-01-10,153.5509033203125,153.57932040545566,152.54730491119935,153.22899712246803,34004000,-0.0023400739221637,0.12699326674698055,6.778268169015334e-06,0.1128011534006003,0.808237393880024,True,0.9210385472806243
2018-01-11,154.60186767578125,154.611344854569,153.57934365102702,153.8160419700184,20473500,0.0068210870013589,0.12195114888905868,6.7129839420227804e-06,0.11213092614545843,0.8093244277638981,True,0.9214553539093565
2018-01-12,155.7379913330078,155.8989444151264,154.27045924121256,154.46927768804107,37762700,0.0073218357217463,0.12262801493858821,6.726831117156768e-06,0.1122682541049963,0.8089643131947922,True,0.9212325672997885
2018-01-16,155.2930145263672,157.5653122786025,154.82908068789757,156.77000951001182,41231800,-0.0028613038690387,0.12390290394388993,6.673812156180878e-06,0.11178769614871682,0.809829559439371,True,0.9216172555880878
2018-01-17,156.96881103515625,157.2055092940859,155.27405785786252,156.0314951758205,33849900,0.0107333811563751,0.11962376614811605,6.651861459062357e-06,0.11167940955442018,0.809822169863962,True,0.9215015794183823
2018-01-18,156.99720764160156,157.35697912435043,156.3533809488857,156.72262960678145,26432200,0.0001808896812619,0.12857072597600858,6.673034680486491e-06,0.11133668015330904,0.8100535396151729,True,0.9213902197684819
2018-01-19,157.48956298828125,157.74520117399135,156.7321256083098,157.4611603506375,38937600,0.0031311698610216,0.12266758139362365,6.6146334863429915e-06,0.11038330815335819,0.8113176304582491,True,0.9217009386116073
2018-01-22,159.17489624023438,159.17489624023438,157.25290686093925,157.43279991218012,26081400,0.010644384714311,0.11880330548225337,6.618443867276182e-06,0.1105766892275328,0.8107380994074068,True,0.9213147886349397
2018-01-23,160.49087524414062,160.63290286141776,159.59142478904369,159.6671699622086,37989700,0.0082335148493118,0.12770164674594892,6.764933339434713e-06,0.11218609964030998,0.8074838977941052,True,0.9196699974344152
2018-01-24,159.44943237304688,161.18206551156723,158.53104189338993,160.83174223421628,54287400,-0.0065102553484042,0.12922542359630282,6.455338720765916e-06,0.10677212529205819,0.816150212658136,True,0.9229223379501942
2018-01-25,159.39259338378906,160.60448716200943,158.8813171182475,160.5476818984856,28925000,-0.0003565338648504,0.12814877607909736,6.678069273052257e-06,0.11033145072286012,0.8099461487058471,True,0.9202775994287072
2018-01-26,161.8354034423828,161.85434335721934,159.97023356826415,160.2826627049954,32038200,0.0152094909132272,0.12230049792532204,6.965541130749722e-06,0.11447984428442254,0.8022658815648666,True,0.916745725849289
2018-01-29,161.0495147705078,161.81641488277137,160.70866867095552,161.49450869067098,37277800,-0.0048679277318958,0.14303043424743275,6.793440959673623e-06,0.11337454693009691,0.8067749251275353,True,0.9201494720576322
2018-01-30,159.72396850585938,160.40566058872912,158.89080052995166,159.58195534147566,44987700,-0.0082647343309838,0.1373115534246384,6.7385885001833195e-06,0.11258967632365258,0.8079551629031986,True,0.9205448392268512
2018-01-31,160.38673400878906,160.94535287790538,159.38313570533205,160.62343226703516,42449200,0.0041408578016499,0.13735929035988304,6.721649859081204e-06,0.11237911478946616,0.8083922731619105,True,0.9207713879513767
2018-02-01,159.0233917236328,160.69920528053018,158.51211530698257,159.15594219333516,38037900,-0.0085366771730723,0.13195032860484224,6.674895764692283e-06,0.1117007539295559,0.8094105861113597,True,0.9211113400409157
2018-02-02,155.85159301757812,158.77717985855438,155.7190425782531,158.3984684453155,68478100,-0.0201470815175776,0.13352661148057224,6.666648807547698e-06,0.11157370463611756,0.8096795866778504,True,0.921253291313968
2018-02-05,149.70689392089844,156.93092862163684,149.59328339196753,154.39353049608908,105372200,-0.0402248856995453,0.16693445172119875,6.835268949407112e-06,0.11385939568249977,0.8067844088077488,True,0.9206438044902486
2018-02-06,153.6740264892578,153.86338227007374,146.847654518825,147.5198697077596,118537900,0.0261543059645944,0.2908563161626678,8.568099282365808e-06,0.1440546035527018,0.7634385424020713,True,0.9074931459547732
2018-02-07,151.68572998046875,154.84801548957472,151.67625280337535,153.18165037576267,91028300,-0.0130228333424881,0.30524058407474086,8.76878791093756e-06,0.14790057479772686,0.7581892839265442,True,0.9060898587242711
2018-02-08,145.28538513183594,152.24431956459966,145.28538513183594,152.07388930965706,94184800,-0.0431108331350597,0.2806503477365359,8.699110016008538e-06,0.14635830165382746,0.7600803934772102,True,0.9064386951310377
2018-02-09,147.79440307617188,148.87374659130643,142.1420473280707,147.33993200365109,113836600,0.017122158142815,0.3715203330792315,9.067839123531473e-06,0.15864998164597832,0.7473929848253692,True,0.9060429664713475
2018-02-12,150.4169921875,151.43953031286728,148.13523214485127,149.30924616341397,63050600,0.0175892455331523,0.3413541010045561,8.735377949182583e-06,0.15480483084064164,0.7546966005931949,True,0.9095014314338365
2018-02-13,151.1934051513672,151.49637145642114,149.32822143193087,149.55545699590942,31785600,0.0051484609663706,0.3194272256079987,8.799047928992257e-06,0.15506529119942378,0.7535852261696646,True,0.9086505173690884
2018-02-14,154.02430725097656,154.26100554545883,149.59332211278897,150.30341699623577,52107400,0.0185505831799405,0.2831978268527456,8.669096381990453e-06,0.15290135171854288,0.7567874646591003,True,0.9096888163776432
2018-02-15,156.8836212158203,156.8836212158203,153.79708076442938,155.4066262213275,51633900,0.0183938350830711,0.27630412514436714,8.649574564812997e-06,0.15318184690670195,0.7570679870980936,True,0.9102498340047955
2018-02-16,156.18299865722656,157.887214707241,155.91788329377826,156.37235439090412,62256300,-0.0044758762753805,0.2699595064130059,8.726145358690817e-06,0.15349324806450096,0.7560163163925184,True,0.9095095644570194
2018-02-20,156.49546813964844,157.81151033235574,155.56761469185628,155.63389716158724,36785600,0.0019986639287332,0.23955157227271348,8.919251507105853e-06,0.15384627403768125,0.7530367287623723,True,0.9068830028000535
2018-02-21,156.0504608154297,158.79615529303103,155.95577571747754,157.2623549452458,41161800,-0.0028476302757813,0.21167114804446427,9.175654293138677e-06,0.15518570901530945,0.7484722187837954,True,0.9036579277991049
