date,Close,High,Low,Open,Volume,log_return,realized_vol
2015-02-03,94.57952117919922,94.64382321569916,93.40370850697364,94.01917185752978,30750400,0.009563500331645,0.19053193836596224
2015-02-04,94.49684143066406,95.12149273128956,93.98241817765764,94.1937002829203,34073200,-0.0008745646749683,0.18286971993055265
2015-02-05,95.31439208984376,95.37869411587768,94.49683475524292,94.73566684714314,23605500,0.0086144081121544,0.1772364614466849
2015-02-06,94.73566436767578,95.69101373545838,94.39578524256127,95.46136264729128,34169300,-0.0060902850731116,0.17441259796892103
2015-02-09,94.43254852294922,94.88266278046788,94.20289739036266,94.36824648616084,22604700,-0.0032047255669232,0.16182038234637078
2015-02-10,95.9023208618164,96.03092494409889,94.80917915401864,94.95615925285396,23686500,0.0154443750506145,0.1687552148818407
2015-02-11,96.25138092041016,96.4718440438582,95.82882368030292,96.01254178177692,20303600,0.0036331378403141,0.1638585246828392
2015-02-12,97.37208557128906,97.40883059553111,96.72906516804493,96.8760382566164,22520300,0.0115762535047377,0.16735114396011483
2015-02-13,98.2080078125,98.22637681831068,97.4639334218421,97.64765852192872,29030200,0.0085481841931166,0.16641236209501278
2015-02-17,98.29986572265624,98.36416775484469,97.95997954771975,98.2080066778722,17675300,0.0009349031689611,0.1564461541703375
2015-02-18,98.43767547607422,98.49278951116544,98.0518562052443,98.18046029272188,15149600,0.0014009504756212,0.15361754513009543
2015-02-19,98.9245147705078,98.98881680122172,98.3457894856868,98.37334649765052,19828100,0.0049334706030784,0.15274153197452212
2015-02-20,99.58594512939452,99.6410591721598,98.54791726799483,98.86024652992688,28336700,0.0066639592389352,0.15313788713993437
2015-02-23,99.68698120117188,99.71454522984554,99.31035691007251,99.53082008067696,17868000,0.0010140472395895,0.14243187559908868
2015-02-24,99.76045989990234,99.8798829853612,99.2552315661204,99.55836576303076,19745000,0.0007368227102756,0.14249752616519115
2015-02-25,99.5124282836914,99.99928755281132,99.29195815517218,99.613475340497,19472300,-0.0024893676862761,0.14293803894939852
2015-02-26,100.01764678955078,100.07276782049443,99.33788148067354,99.61346561020528,22255500,0.0050640945769181,0.09993780044311437
2015-02-27,99.57674407958984,100.0452344069386,99.42058297327266,99.9809253542698,27757600,-0.0044179941650037,0.09919218558073685
2015-03-02,100.4769287109375,100.51367372134833,99.75123052421044,99.76960653361292,22988600,0.008999491929771,0.09876739389412881
2015-03-03,100.00849151611328,100.27488770761234,99.37465206018804,100.1738406346852,20788900,-0.0046730385356029,0.09484853937705426
2015-03-04,99.62267303466795,99.8247671821468,99.0806996467906,99.67779408023328,21007400,-0.0038653179495229,0.09621513210527906
2015-03-05,99.79718780517578,100.10032895847878,99.38381860223228,99.87986585080198,15381000,0.0017502250209376,0.09318612028068808
2015-03-06,98.66732025146484,99.86150198771408,98.41929309280304,99.66859586897527,30990400,-0.0113862148112878,0.10449217935386916
2015-03-09,98.95207977294922,99.20009990904629,98.4652204998872,98.869401721986,26237100,0.002881900446361,0.10181164576632917
2015-03-10,97.11486053466795,98.27230406777912,97.11486053466795,98.24474004808972,34234500,-0.0187412830519127,0.12164048778150849
2015-03-11,96.55452728271484,97.38127280055666,96.51778225876669,97.26184972062596,25459700,-0.0057865088723515,0.12313303317069212
2015-03-12,97.18836975097656,97.29859781790609,96.4167382404854,96.4810402823266,21473200,0.0065431532133396,0.1135145338717773
2015-03-13,96.76580047607422,97.48231791614882,96.15952511403766,97.096498676602,42021100,-0.0043574205496246,0.11422736510198277
2015-03-16,98.0150909423828,98.05183596098944,97.0230034735864,97.12405052265574,25674100,0.0128278250333643,0.11586109368433417
2015-03-17,98.1712875366211,98.32744865475829,97.5190790358149,97.74873021250994,19603800,0.0015923289726069,0.11207563945068287
2015-03-18,99.13579559326172,99.58591684265096,97.3996336553208,97.90486893182047,40622200,0.0097767979141884,0.11709559041574466
2015-03-19,99.28276824951172,99.55834537284454,99.08986216066008,99.23683522475844,31314000,0.0014814408519369,0.1171045633788474
2015-03-20,99.92544555664062,100.4226337321864,99.9070343017754,100.10038408817952,31761400,0.0064523397358645,0.11795936879678291
2015-03-23,99.73209381103516,100.14641377025976,99.69526427751282,99.87020280561512,17268500,-0.0019368345083449,0.11602436775938978
2015-03-24,99.37300872802734,100.18323734377164,99.35459747461913,99.72287873890252,22445300,-0.0036069941729146,0.1166531105036572
2015-03-25,97.09882354736328,99.62158640914944,97.06199402079169,99.52951610497742,41581400,-0.0231512754799874,0.1411441209193967
2015-03-26,96.76736450195312,97.31979334961088,95.97554724465525,96.29779682041276,47846300,-0.0034194654747936,0.1412806003503393
2015-03-27,97.154052734375,97.3842319796014,96.60162395073424,96.74894203944544,33878400,0.0039880973484322,0.14071485127941652
2015-03-30,98.26815032958984,98.35101150622984,97.74334180399198,97.74334180399198,30570200,0.0114020786563485,0.14694940095042527
2015-03-31,97.22772216796876,98.19447791102728,97.20010177951232,97.99191902966156,30488100,-0.010644091574916,0.14648490501833483
2015-04-01,96.72132873535156,97.24613717191086,96.09524086151646,97.22771889721692,32970500,-0.0052219341211308,0.14664388486260682
2015-04-02,96.78579711914062,97.09883760354457,96.47274961022174,96.8134175119392,19164200,0.0006663153709672,0.14659874466657563
2015-04-06,97.57759857177734,97.84460034160628,96.06761610819778,96.21493421177192,24451100,0.0081476847028048,0.14995422474559325
