date,Close,High,Low,Open,Volume,log_return
2015-01-05,93.1740493774414,94.2580029056781,92.90765324669557,94.1477678489708,36521300,-0.014777468150664932
2015-01-06,91.92472076416016,93.46797607951892,91.5113516831365,93.31181504965609,66205500,-0.013499253229473953
2015-01-07,93.10975646972656,93.33021959634728,92.31056799918137,92.53103813419852,37577400,0.012808984851337026
2015-01-08,94.8918685913086,95.07558672848766,93.7987267524194,93.89977383038719,40212600,0.01895904358990722
2015-01-09,94.2671890258789,95.21335046639433,93.71602076176899,95.18579345486796,41410100,-0.006604831343578903
2015-01-12,93.2843017578125,94.55197360758274,93.04546259479015,94.4509265389347,34129800,-0.010481348478399514
2015-01-13,93.2567367553711,95.18581203961072,92.50348125686503,94.1937173805841,56162300,-0.0002955382135935666
2015-01-14,92.7423324584961,93.2200108415561,91.92477481159504,92.31977512480324,51354200,-0.005531270780689888
2015-01-15,91.53890228271484,93.32098951609632,91.42866726490425,93.17401650074216,51005400,-0.01306098567355406
2015-01-16,92.61368560791016,92.73310164435517,91.27252416567174,91.4194972098814,35362200,0.011672879988238362
2015-01-20,93.34859466552734,93.58742679678025,92.12684896117871,93.17405756250714,30964100,0.007903891933772724
2015-01-21,93.8262710571289,94.26720433836161,92.74231737451181,93.07301558333714,40128800,0.0051040766267022525
2015-01-22,95.56240844726562,95.66345548542013,93.36694463353584,94.19368994189317,40887200,0.018334633614088634
2015-01-23,95.77373504638672,96.06768829172594,95.27768763080212,95.55326485608366,34783000,0.0022089572957097723
2015-01-26,95.66346740722656,95.83800449640736,95.17660816729673,95.66346740722656,19960900,-0.0011519981481296212
2015-01-27,93.18321990966797,94.21205221241678,92.87089081176606,94.1569381985965,45253200,-0.026268823202000042
2015-01-28,92.70553588867188,94.78158338124169,92.68716688802701,94.68053635670994,43591700,-0.005139472480875079
2015-01-29,93.59660339355469,93.77114047529614,91.82369659018758,92.63206595331418,46539700,0.009565905181561809
2015-01-30,92.87092590332031,94.23046382787952,92.74232181688328,93.51395334390259,42927600,-0.007783458670404441
